Date,Net_Sales,Orders,Guests,holiday,is_gameday,is_pride_festival,is_arnold,Average Temp (°F),Average Humidity (%),Common Weather Description
12/31/2022,3517.3,61,139,New Year's Eve,No,No,No,53.23,96,light rain
1/3/2023,1695.9,46,73,,No,No,No,60.24,95.18,light rain
1/4/2023,1487.25,36,76,,No,No,No,57.83,91.45,heavy intensity rain
1/5/2023,1831.02,40,91,,No,No,No,40.49,76.27,sky is clear
1/6/2023,4196.75,79,197,,No,No,No,36.32,80.91,overcast clouds
1/7/2023,5116.35,99,259,,No,No,No,33.82,77.64,overcast clouds
1/9/2023,788.45,26,37,,No,No,No,31.64,82.73,overcast clouds
1/10/2023,1173.05,31,67,,No,No,No,35.39,82.73,sky is clear
1/11/2023,1411.8,41,71,,No,No,No,39.64,86.09,overcast clouds
1/12/2023,1730.45,46,94,,No,No,No,49.55,96.58,moderate rain
1/13/2023,3394.84,75,159,,No,No,No,32.32,84.45,overcast clouds
1/14/2023,5167.65,94,237,,No,No,No,26.96,68.91,overcast clouds
1/16/2023,1608.1,44,94,Martin Luther King Jr. Day,No,No,No,34.31,67.27,sky is clear
1/17/2023,1502.7,42,77,,No,No,No,52.58,82.45,overcast clouds
1/18/2023,1919.55,44,97,,No,No,No,39.85,82.09,overcast clouds
1/19/2023,1160.17,36,61,,No,No,No,54.58,77.45,light rain
1/20/2023,3719.1,74,181,,No,No,No,35.7,75.45,overcast clouds
1/21/2023,4589,78,202,,No,No,No,32.87,80.36,overcast clouds
2/1/2023,1096.75,18,29,,No,No,No,21.81,67.27,sky is clear
2/2/2023,1034.6,27,48,,No,No,No,29.19,66.45,sky is clear
2/3/2023,4920.18,126,241,,No,No,No,20.81,55.45,broken clouds
2/4/2023,7545.58,151,343,,No,No,No,25.97,54.18,sky is clear
2/6/2023,1526.35,38,64,,No,No,No,34.25,76.73,overcast clouds
2/7/2023,3060.6,65,123,,No,No,No,48.34,63.09,light rain
2/8/2023,3556.47,73,149,,No,No,No,39.44,76.36,sky is clear
2/9/2023,3016.78,65,120,,No,No,No,61.81,70.5,light rain
2/10/2023,6185.94,119,282,,No,No,No,41,77.27,overcast clouds
2/11/2023,8464.65,153,384,,No,No,No,32.12,67,sky is clear
2/13/2023,2609.73,53,107,,No,No,No,44.24,46.27,sky is clear
2/14/2023,5818.2,113,231,Valentine's Day,No,No,No,43.6,58.91,sky is clear
2/15/2023,2705.83,70,130,,No,No,No,63.64,54.36,scattered clouds
2/16/2023,2685.4,58,113,,No,No,No,51.92,88.64,moderate rain
2/17/2023,4528.13,98,215,,No,No,No,29.39,78.09,overcast clouds
2/18/2023,7940.2,153,358,,No,No,No,33.02,64.73,sky is clear
2/20/2023,3255.61,71,167,,No,No,No,49.27,61.91,overcast clouds
2/21/2023,2086.6,49,91,,No,No,No,47.97,50,sky is clear
2/22/2023,3752.59,82,166,,No,No,No,45.28,85.91,light rain
2/23/2023,2503.29,66,114,,No,No,No,63.69,72.55,sky is clear
2/24/2023,4937.84,109,226,,No,No,No,35.6,59.36,scattered clouds
2/25/2023,8251.21,152,351,,No,No,No,39.09,58.45,overcast clouds
2/27/2023,2352.98,53,103,,No,No,No,48.29,88.82,light rain
2/28/2023,2723.66,54,97,,No,No,No,44.13,74.64,overcast clouds
3/1/2023,2124.61,58,100,,No,No,No,56.69,61,sky is clear
3/2/2023,3610.37,68,134,,No,No,Arnold Classic,47.44,67.64,sky is clear
3/3/2023,3570.77,76,151,,No,No,Arnold Classic,40.32,90.18,heavy intensity rain
3/4/2023,7774.1,141,336,,No,No,Arnold Classic,44.08,71.27,broken clouds
3/6/2023,1626.17,48,76,,No,No,No,54.68,53.64,sky is clear
3/7/2023,3063.77,70,144,,No,No,No,42.4,60.73,sky is clear
3/8/2023,2895.98,68,120,,No,No,No,38.87,55.73,sky is clear
3/9/2023,5234.32,87,172,,No,No,No,39.76,67.09,sky is clear
3/10/2023,6217.64,117,250,,No,No,No,39.97,89.73,light rain
3/11/2023,8686.63,151,386,,No,No,No,35.39,66.36,overcast clouds
3/13/2023,2567.46,66,121,,No,No,No,34.42,73.55,overcast clouds
